Dataset,Geography Level,Geography,Metric,Value,Unit,Observation Date,Source,Source URL,Boundary
National facility totals,State,Georgia,Total,235.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Illinois,Development,123.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Illinois,Operating,139.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Illinois,Total,262.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Indiana,Development,54.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Indiana,Operating,38.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Indiana,Total,92.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Iowa,Development,41.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Iowa,Operating,64.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Iowa,Total,105.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,New York,Development,6.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,New York,Operating,148.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,New York,Total,154.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,North Carolina,Development,41.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,North Carolina,Operating,72.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,North Carolina,Total,113.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Ohio,Development,57.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Ohio,Operating,166.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Ohio,Total,223.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Oregon,Development,27.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Oregon,Operating,115.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Oregon,Total,142.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Pennsylvania,Development,51.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Pennsylvania,Operating,78.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Pennsylvania,Total,129.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Texas,Development,170.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Texas,Operating,296.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Texas,Total,466.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Virginia,Development,287.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Virginia,Operating,398.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Virginia,Total,685.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Washington,Development,11.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
National facility totals,State,Washington,Operating,124.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
