Date,Series,Value,Series ID,Metric,Unit,Source
2024-07-01,Construction,249.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-08-01,Construction,342.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-09-01,Construction,246.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-10-01,Construction,241.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-11-01,Construction,233.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-12-01,Construction,135.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-01-01,Construction,232.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-02-01,Construction,255.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-03-01,Construction,278.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-04-01,Construction,207.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-05-01,Construction,222.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-06-01,Construction,224.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-07-01,Construction,305.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-08-01,Construction,213.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-09-01,Construction,206.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-10-01,Construction,196.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-11-01,Construction,292.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-12-01,Construction,245.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-01-01,Construction,230.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-02-01,Construction,201.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-03-01,Construction,234.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-04-01,Construction,266.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-05-01,Construction,291.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-06-01,Construction,305.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-01-01,Manufacturing,407.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-02-01,Manufacturing,392.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-03-01,Manufacturing,295.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-04-01,Manufacturing,298.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-05-01,Manufacturing,314.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-06-01,Manufacturing,338.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-07-01,Manufacturing,392.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-08-01,Manufacturing,458.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-09-01,Manufacturing,469.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-10-01,Manufacturing,519.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-11-01,Manufacturing,490.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-12-01,Manufacturing,502.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-01-01,Manufacturing,522.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-02-01,Manufacturing,599.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-03-01,Manufacturing,739.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-04-01,Manufacturing,848.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-05-01,Manufacturing,887.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-06-01,Manufacturing,893.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-07-01,Manufacturing,903.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-08-01,Manufacturing,843.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-09-01,Manufacturing,930.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-10-01,Manufacturing,953.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-11-01,Manufacturing,846.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-12-01,Manufacturing,877.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-01-01,Manufacturing,895.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-02-01,Manufacturing,823.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-03-01,Manufacturing,905.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-04-01,Manufacturing,1025.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-05-01,Manufacturing,805.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-06-01,Manufacturing,860.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-07-01,Manufacturing,879.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-08-01,Manufacturing,823.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-09-01,Manufacturing,816.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-10-01,Manufacturing,743.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-11-01,Manufacturing,814.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-12-01,Manufacturing,750.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-01-01,Manufacturing,717.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-02-01,Manufacturing,665.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-03-01,Manufacturing,683.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-04-01,Manufacturing,653.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-05-01,Manufacturing,557.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-06-01,Manufacturing,575.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-07-01,Manufacturing,514.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-08-01,Manufacturing,576.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-09-01,Manufacturing,605.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-10-01,Manufacturing,568.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-11-01,Manufacturing,535.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-12-01,Manufacturing,597.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-01-01,Manufacturing,557.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-02-01,Manufacturing,551.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-03-01,Manufacturing,517.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-04-01,Manufacturing,491.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-05-01,Manufacturing,541.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-06-01,Manufacturing,471.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-07-01,Manufacturing,481.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-08-01,Manufacturing,461.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-09-01,Manufacturing,466.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-10-01,Manufacturing,437.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-11-01,Manufacturing,415.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-12-01,Manufacturing,401.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-01-01,Manufacturing,447.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-02-01,Manufacturing,400.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-03-01,Manufacturing,389.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-04-01,Manufacturing,376.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-05-01,Manufacturing,401.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-06-01,Manufacturing,391.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-07-01,Manufacturing,428.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-08-01,Manufacturing,416.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-09-01,Manufacturing,389.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-10-01,Manufacturing,426.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-11-01,Manufacturing,389.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-12-01,Manufacturing,426.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-01-01,Manufacturing,510.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-02-01,Manufacturing,443.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-03-01,Manufacturing,450.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-04-01,Manufacturing,496.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-05-01,Manufacturing,517.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-06-01,Manufacturing,481.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-01-01,Information,130.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
