Date,Series,Metric,Value,Unit,Series ID,sector_name,measure_text,Source
2022-07-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,-2.8,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2022-10-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,-2.8,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2023-01-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,-1.8,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2023-04-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,-0.7,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2023-07-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,0.1,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2023-10-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,1.4,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2024-01-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,1.1,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2024-04-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,0.2,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2024-07-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,0.4,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2024-10-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,-0.2,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2025-01-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,1.2,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2025-04-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,1.8,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2025-07-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,2.8,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2025-10-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,1.8,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2026-01-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,1.2,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2026-04-01,Manufacturing — Labor productivity (output per hour),Year-over-year change,0.9,percent,PRS30006091,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2020-01-01,Manufacturing — Labor productivity (output per hour),Index,97.168,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2020-04-01,Manufacturing — Labor productivity (output per hour),Index,95.515,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2020-07-01,Manufacturing — Labor productivity (output per hour),Index,99.302,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2020-10-01,Manufacturing — Labor productivity (output per hour),Index,99.094,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2021-01-01,Manufacturing — Labor productivity (output per hour),Index,98.875,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2021-04-01,Manufacturing — Labor productivity (output per hour),Index,100.216,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
