Date,Series,Value,Series ID,Metric,Unit,Source,Attribution boundary
2022-10-01,Real hourly compensation,104.401,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2023-01-01,Real hourly compensation,104.274,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2023-04-01,Real hourly compensation,105.19,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2023-07-01,Real hourly compensation,105.896,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2023-10-01,Real hourly compensation,106.488,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2024-01-01,Real hourly compensation,107.023,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2024-04-01,Real hourly compensation,107.558,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2024-07-01,Real hourly compensation,108.48,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2024-10-01,Real hourly compensation,108.781,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2025-01-01,Real hourly compensation,109.465,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2025-04-01,Real hourly compensation,109.337,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2025-07-01,Real hourly compensation,110.158,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2025-10-01,Real hourly compensation,110.486,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2026-01-01,Real hourly compensation,110.104,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2020-01-01,Labor share,102.159,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2020-04-01,Labor share,104.195,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2020-07-01,Labor share,100.005,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2020-10-01,Labor share,102.798,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
