Date,Value,Series ID,Series,Metric,Unit,Source
2024-08-01,2437.2,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2024-09-01,2437.6,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2024-10-01,2433.4,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2024-11-01,2429.2,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2024-12-01,2431.4,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-01-01,2426.3,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-02-01,2416.7,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-03-01,2408.9,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-04-01,2411.3,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-05-01,2410.3,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-06-01,2399.9,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-07-01,2395.7,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-08-01,2394.0,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-09-01,2387.6,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-10-01,2379.7,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-11-01,2381.5,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2025-12-01,2380.6,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2026-01-01,2374.2,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2026-02-01,2379.1,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2026-03-01,2369.6,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2026-04-01,2369.5,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2026-05-01,2370.3,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2026-06-01,2374.6,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-01-01,364.1,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-02-01,363.8,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-03-01,364.9,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-04-01,360.1,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-05-01,356.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-06-01,364.2,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-07-01,365.7,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-08-01,355.4,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-09-01,357.5,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-10-01,365.0,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-11-01,365.9,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-12-01,367.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-01-01,366.5,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-02-01,372.1,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-03-01,375.1,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-04-01,386.5,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-05-01,387.7,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-06-01,399.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-07-01,405.9,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-08-01,412.8,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-09-01,420.4,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-10-01,427.0,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-11-01,431.9,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2021-12-01,433.8,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-01-01,441.0,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-02-01,445.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-03-01,448.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-04-01,455.1,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-05-01,461.0,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-06-01,464.4,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-07-01,468.8,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-08-01,473.7,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-09-01,479.1,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-10-01,481.7,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-11-01,483.0,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2022-12-01,485.8,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-01-01,484.8,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-02-01,483.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-03-01,483.3,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
