Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Nameplate Energy Capacity (MWh),Latitude,Longitude
56545,Pattern Operators LP,61858.0,"Stillwater Wind, LLC",MT,Stillwater,NWMT,IPP Non-CHP,WT,79.7,79.7,79.7,Onshore Wind Turbine,Wind,WND,WT,10.0,2018.0, , ,(OP) Operating,,45.86584,-109.4766
60496,"Adapture Renewables, Inc.",61860.0,Ontario Solar Center,OR,Malheur,IPCO,IPP Non-CHP,ONTRO,3.0,3.0,3.0,Solar Photovoltaic,Solar,SUN,PV,5.0,2020.0, , ,(OP) Operating,,44.112841,-117.0281
61482,"AES ES GILBERT, LLC",61861.0,AES ES GILBERT,AZ,Maricopa,SRP,IPP Non-CHP,SRP,10.0,10.0,10.0,Batteries,Battery storage,MWH,BA,1.0,2019.0, , ,(OS) Out of service and NOT expected to return to service in next calendar year,40.0,33.446804,-111.9563
61944,MN8 Energy LLC,61862.0,Dignity - San Martin,NV,Clark,NEVP,IPP Non-CHP,PV1,1.7,1.7,1.7,Solar Photovoltaic,Solar,SUN,PV,5.0,2018.0, , ,(OP) Operating,,36.057181,-115.2721
60584,Onyx Asset Services Group,61863.0,Duanesburg,NY,Montgomery,NYIS,IPP Non-CHP,10048,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,4.0,2018.0, , ,(OP) Operating,,42.762173,-74.20155
60281,"Altus Power America Management, LLC",61864.0,"Dix Solar, L.L.C",NJ,Burlington,PJM,IPP Non-CHP,DIXSL,13.0,13.0,13.0,Solar Photovoltaic,Solar,SUN,PV,6.0,2017.0, , ,(OP) Operating,,39.977433,-74.62186
61485,"Rio Bravo Windpower, LLC",61865.0,"Rio Bravo Windpower, LLC",TX,Starr,ERCO,IPP Non-CHP,1,237.6,237.6,237.6,Onshore Wind Turbine,Wind,WND,WT,6.0,2019.0, , ,(OP) Operating,,26.649,-99.0387
17650,Southern Power Co,61866.0,Wildhorse Mountain Wind Facility,OK,Pushmataha,SWPP,IPP Non-CHP,1,100.0,100.0,100.0,Onshore Wind Turbine,Wind,WND,WT,12.0,2019.0, , ,(OP) Operating,,34.591031,-95.19181
61060,Cypress Creek Renewables,61867.0,Bovine,TX,Austin,ERCO,IPP Non-CHP,GEN1,10.0,10.0,10.0,Solar Photovoltaic,Solar,SUN,PV,12.0,2018.0, , ,(OP) Operating,,29.631324,-96.07689
61060,Cypress Creek Renewables,61868.0,Bronson,TX,Fort Bend,ERCO,IPP Non-CHP,GEN1,10.0,10.0,10.0,Solar Photovoltaic,Solar,SUN,PV,12.0,2018.0, , ,(OP) Operating,,29.537482,-95.96955
61486,Scenic Hill Solar III LLC,61869.0,Scenic Hill Solar III,AR,Johnson,SPA,IPP Non-CHP,SHS3,5.0,5.0,5.0,Solar Photovoltaic,Solar,SUN,PV,12.0,2017.0, , ,(OP) Operating,,35.46715,-93.51517
