Date,Geography,Sector,Sales MWh,Revenue Thousand Dollars,Customers,Price Cents per kWh,Data Status
2026-01-01,NJ,Residential,2869810.3,663689.19,3810915.0,23.13,Preliminary
2026-01-01,NM,Residential,624716.77,91840.52,928911.0,14.7,Preliminary
2026-01-01,NV,Residential,933080.53,130466.77,1347277.0,13.98,Preliminary
2026-01-01,NY,Residential,5033904.5,1428003.3,7474160.0,28.37,Preliminary
2026-01-01,OH,Residential,5685289.1,999778.04,5120943.0,17.59,Preliminary
2026-01-01,OK,Residential,2306410.7,291142.18,1914723.0,12.62,Preliminary
2026-01-01,OR,Residential,2165869.8,317420.58,1902055.0,14.66,Preliminary
2026-01-01,PA,Residential,6282852.4,1268219.5,5537349.0,20.19,Preliminary
2026-01-01,RI,Residential,295761.95,89150.49,467256.0,30.14,Preliminary
2026-01-01,SC,Residential,3399391.9,523741.16,2650620.0,15.41,Preliminary
2026-01-01,SD,Residential,566738.45,77058.95,446685.0,13.6,Preliminary
2026-01-01,TN,Residential,4274294.4,560001.97,3120821.0,13.1,Preliminary
2026-01-01,TX,Residential,13949866.0,2188116.1,12852996.0,15.69,Preliminary
2026-01-01,UT,Residential,957647.69,123382.91,1275269.0,12.88,Preliminary
2026-01-01,VA,Residential,5599599.3,888631.13,3710239.0,15.87,Preliminary
2026-01-01,VT,Residential,246624.63,57447.8,312239.0,23.29,Preliminary
2026-01-01,WA,Residential,4336157.7,598887.73,3415922.0,13.81,Preliminary
2026-01-01,WI,Residential,2276639.9,414275.01,2899792.0,18.2,Preliminary
2026-01-01,WV,Residential,1410960.9,208353.41,869633.0,14.77,Preliminary
2026-01-01,WY,Residential,324664.52,41714.19,291650.0,12.85,Preliminary
2025-12-01,AK,Residential,231779.65,59199.87,305423.0,25.54,Preliminary
2025-12-01,AL,Residential,2823510.9,452013.56,2439723.0,16.01,Preliminary
2025-12-01,AR,Residential,1588253.9,195860.23,1500421.0,12.33,Preliminary
2025-12-01,AZ,Residential,2309707.6,357031.92,3193720.0,15.46,Preliminary
2025-12-01,CA,Residential,5911176.3,2051941.7,14730091.0,34.71,Preliminary
2025-12-01,CO,Residential,1667641.4,268785.59,2530607.0,16.12,Preliminary
2025-12-01,CT,Residential,1381754.9,349597.74,1602362.0,25.3,Preliminary
2025-12-01,DC,Residential,247968.06,59267.93,326082.0,23.9,Preliminary
2025-12-01,DE,Residential,544084.27,93156.68,477952.0,17.12,Preliminary
2025-12-01,FL,Residential,9541419.9,1433477.3,10704479.0,15.02,Preliminary
2025-12-01,GA,Residential,5361741.4,733040.05,4879766.0,13.67,Preliminary
2025-12-01,HI,Residential,239829.3,99814.59,449924.0,41.62,Preliminary
2025-12-01,IA,Residential,1444861.3,182027.09,1482096.0,12.6,Preliminary
2025-12-01,ID,Residential,951333.59,112964.86,897682.0,11.87,Preliminary
2025-12-01,IL,Residential,4165174.3,711150.91,5419302.0,17.07,Preliminary
2025-12-01,IN,Residential,3323848.4,528761.0,3025378.0,15.91,Preliminary
2025-12-01,KS,Residential,1117124.9,161229.95,1349853.0,14.43,Preliminary
2025-12-01,KY,Residential,2607101.8,344617.17,2022530.0,13.22,Preliminary
2025-12-01,LA,Residential,2331712.2,292808.24,2169004.0,12.56,Preliminary
2025-12-01,MA,Residential,1946114.2,601037.31,3030934.0,30.88,Preliminary
2025-12-01,MD,Residential,2984741.6,584187.24,2472660.0,19.57,Preliminary
2025-12-01,ME,Residential,397428.96,120760.75,755337.0,30.39,Preliminary
2025-12-01,MI,Residential,3173785.9,619828.87,4553528.0,19.53,Preliminary
2025-12-01,MN,Residential,2241284.5,335254.44,2630746.0,14.96,Preliminary
2025-12-01,MO,Residential,3376361.7,402174.23,2895240.0,11.91,Preliminary
2025-12-01,MS,Residential,1482479.0,209875.99,1352060.0,14.16,Preliminary
2025-12-01,MT,Residential,565351.38,72178.18,570897.0,12.77,Preliminary
2025-12-01,NC,Residential,6233436.8,839725.4,5201684.0,13.47,Preliminary
2025-12-01,ND,Residential,598301.38,65914.61,401147.0,11.02,Preliminary
2025-12-01,NE,Residential,1029597.0,119111.58,928711.0,11.57,Preliminary
2025-12-01,NH,Residential,499961.02,131412.1,662893.0,26.28,Preliminary
2025-12-01,NJ,Residential,2669217.8,613479.56,3816944.0,22.98,Preliminary
2025-12-01,NM,Residential,578094.37,84724.58,925846.0,14.66,Preliminary
2025-12-01,NV,Residential,896051.22,114953.53,1347185.0,12.83,Preliminary
2025-12-01,NY,Residential,4580673.8,1254659.6,7480119.0,27.39,Preliminary
2025-12-01,OH,Residential,5121328.5,886329.94,5118258.0,17.31,Preliminary
2025-12-01,OK,Residential,1993023.0,244176.55,1913070.0,12.25,Preliminary
2025-12-01,OR,Residential,1955889.2,292215.12,1901758.0,14.94,Preliminary
2025-12-01,PA,Residential,5738126.0,1152170.1,5524310.0,20.08,Preliminary
2025-12-01,RI,Residential,281991.48,87850.33,467312.0,31.15,Preliminary
2025-12-01,SC,Residential,2980223.2,441622.21,2641228.0,14.82,Preliminary
2025-12-01,SD,Residential,524103.15,65552.74,446613.0,12.51,Preliminary
2025-12-01,TN,Residential,3930053.3,505693.35,3129608.0,12.87,Preliminary
2025-12-01,TX,Residential,12163293.0,1930746.5,12886312.0,15.87,Preliminary
2025-12-01,UT,Residential,903210.15,117334.56,1273222.0,12.99,Preliminary
2025-12-01,VA,Residential,4994059.3,762574.45,3707509.0,15.27,Preliminary
2025-12-01,VT,Residential,234629.88,54475.9,314791.0,23.22,Preliminary
2025-12-01,WA,Residential,4046466.7,539244.62,3428326.0,13.33,Preliminary
2025-12-01,WI,Residential,2194020.4,391338.52,2893680.0,17.84,Preliminary
2025-12-01,WV,Residential,1275921.9,186352.57,869056.0,14.61,Preliminary
2025-12-01,WY,Residential,287500.18,36872.09,291355.0,12.83,Preliminary
2025-11-01,AK,Residential,181076.7,47404.55,303853.0,26.18,Preliminary
2025-11-01,AL,Residential,2177139.6,350161.57,2436561.0,16.08,Preliminary
2025-11-01,AR,Residential,1149330.1,151908.51,1497944.0,13.22,Preliminary
2025-11-01,AZ,Residential,2218250.5,347424.77,3190448.0,15.66,Preliminary
2025-11-01,CA,Residential,5693060.0,1815632.0,13594127.0,31.89,Preliminary
2025-11-01,CO,Residential,1425953.4,233150.88,2529776.0,16.35,Preliminary
2025-11-01,CT,Residential,984306.0,266007.36,1598577.0,27.02,Preliminary
2025-11-01,DC,Residential,155159.85,35251.09,325508.0,22.72,Preliminary
2025-11-01,DE,Residential,338907.22,63734.61,479181.0,18.81,Preliminary
2025-11-01,FL,Residential,9198523.2,1451457.4,10676310.0,15.78,Preliminary
2025-11-01,GA,Residential,4161974.8,600243.31,4872898.0,14.42,Preliminary
2025-11-01,HI,Residential,233848.3,93999.78,449893.0,40.2,Preliminary
2025-11-01,IA,Residential,985247.98,133534.85,1476243.0,13.55,Preliminary
2025-11-01,ID,Residential,769075.56,94201.35,894861.0,12.25,Preliminary
2025-11-01,IL,Residential,3120283.1,571389.64,5418060.0,18.31,Preliminary
2025-11-01,IN,Residential,2318565.5,403646.86,3021422.0,17.41,Preliminary
2025-11-01,KS,Residential,884373.63,133523.97,1348616.0,15.1,Preliminary
2025-11-01,KY,Residential,1783547.7,244410.47,2021155.0,13.7,Preliminary
2025-11-01,LA,Residential,1929712.0,245779.39,2168369.0,12.74,Preliminary
2025-11-01,MA,Residential,1338002.7,417789.02,2746747.0,31.22,Preliminary
2025-11-01,MD,Residential,1946745.3,415446.86,2470725.0,21.34,Preliminary
2025-11-01,ME,Residential,362316.95,100894.39,686954.0,27.85,Preliminary
2025-11-01,MI,Residential,2524003.4,503298.54,4545991.0,19.94,Preliminary
2025-11-01,MN,Residential,1675044.0,262534.9,2622091.0,15.67,Preliminary
2025-11-01,MO,Residential,2390958.4,313603.58,2891472.0,13.12,Preliminary
2025-11-01,MS,Residential,1160052.0,177783.33,1350724.0,15.33,Preliminary
2025-11-01,MT,Residential,438661.59,56226.58,569245.0,12.82,Preliminary
2025-11-01,NC,Residential,4397684.2,644021.52,5191985.0,14.64,Preliminary
2025-11-01,ND,Residential,435353.04,51926.23,400581.0,11.93,Preliminary
2025-11-01,NE,Residential,697283.03,87301.89,925224.0,12.52,Preliminary
2025-11-01,NH,Residential,378420.64,103592.35,659048.0,27.37,Preliminary
2025-11-01,NJ,Residential,1952187.6,443734.77,3781919.0,22.73,Preliminary
2025-11-01,NM,Residential,469878.46,73332.89,925974.0,15.61,Preliminary
2025-11-01,NV,Residential,782354.22,111064.14,1342153.0,14.2,Preliminary
2025-11-01,NY,Residential,3554340.4,938913.88,7447409.0,26.42,Preliminary
2025-11-01,OH,Residential,3941499.6,696255.16,5110934.0,17.66,Preliminary
2025-11-01,OK,Residential,1439727.3,191999.93,1909631.0,13.34,Preliminary
2025-11-01,OR,Residential,1601703.1,249685.84,1896727.0,15.59,Preliminary
2025-11-01,PA,Residential,3998648.2,806185.04,5543170.0,20.16,Preliminary
2025-11-01,RI,Residential,212096.67,65362.88,466266.0,30.82,Preliminary
2025-11-01,SC,Residential,2179876.6,338639.49,2635548.0,15.53,Preliminary
2025-11-01,SD,Residential,390690.3,53967.0,445468.0,13.81,Preliminary
2025-11-01,TN,Residential,2794256.3,376372.92,3124742.0,13.47,Preliminary
2025-11-01,TX,Residential,10403342.0,1668355.0,12786493.0,16.04,Preliminary
2025-11-01,UT,Residential,803145.87,104948.77,1271096.0,13.07,Preliminary
2025-11-01,VA,Residential,3290503.8,524406.12,3703207.0,15.94,Preliminary
2025-11-01,VT,Residential,181224.37,43800.56,312427.0,24.17,Preliminary
2025-11-01,WA,Residential,3030509.9,419694.22,3390356.0,13.85,Preliminary
2025-11-01,WI,Residential,1666558.7,306520.66,2868868.0,18.39,Preliminary
2025-11-01,WV,Residential,848640.47,132824.97,867805.0,15.65,Preliminary
2025-11-01,WY,Residential,228363.92,31759.72,290644.0,13.91,Preliminary
2025-10-01,AK,Residential,158957.76,42065.11,304292.0,26.46,Preliminary
2025-10-01,AL,Residential,2295933.2,383811.56,2437215.0,16.72,Preliminary
2025-10-01,AR,Residential,1352791.1,179390.17,1499882.0,13.26,Preliminary
2025-10-01,AZ,Residential,2780833.5,432478.5,3184036.0,15.55,Preliminary
2025-10-01,CA,Residential,6558574.1,2203584.0,14543458.0,33.6,Preliminary
2025-10-01,CO,Residential,1483681.8,241290.18,2529578.0,16.26,Preliminary
2025-10-01,CT,Residential,837430.62,232127.8,1595235.0,27.72,Preliminary
2025-10-01,DC,Residential,157072.47,37574.75,325337.0,23.92,Preliminary
2025-10-01,DE,Residential,311701.44,57080.95,478732.0,18.31,Preliminary
2025-10-01,FL,Residential,11687205.0,1835422.8,10676812.0,15.7,Preliminary
2025-10-01,GA,Residential,4253218.7,618148.51,4874463.0,14.53,Preliminary
2025-10-01,HI,Residential,248904.68,98910.09,449753.0,39.74,Preliminary
2025-10-01,IA,Residential,1039370.2,140095.31,1479193.0,13.48,Preliminary
2025-10-01,ID,Residential,658753.09,82062.65,894016.0,12.46,Preliminary
2025-10-01,IL,Residential,3108450.2,582418.0,5393849.0,18.74,Preliminary
2025-10-01,IN,Residential,2202609.6,381882.37,3019480.0,17.34,Preliminary
2025-10-01,KS,Residential,978674.29,148416.76,1347706.0,15.17,Preliminary
2025-10-01,KY,Residential,1730968.1,235772.17,2020026.0,13.62,Preliminary
2025-10-01,LA,Residential,2513826.1,311580.48,2169288.0,12.39,Preliminary
2025-10-01,MA,Residential,1458069.6,457421.94,2953655.0,31.37,Preliminary
2025-10-01,MD,Residential,1630820.9,363753.78,2469646.0,22.3,Preliminary
2025-10-01,ME,Residential,355560.46,94672.99,760410.0,26.63,Preliminary
2025-10-01,MI,Residential,2359307.4,482636.3,4548300.0,20.46,Preliminary
2025-10-01,MN,Residential,1658228.9,271409.08,2629952.0,16.37,Preliminary
2025-10-01,MO,Residential,2313560.4,299711.58,2885336.0,12.95,Preliminary
2025-10-01,MS,Residential,1441905.9,208633.13,1352394.0,14.47,Preliminary
2025-10-01,MT,Residential,377345.08,53828.38,569339.0,14.27,Preliminary
2025-10-01,NC,Residential,4112537.1,618902.88,5203675.0,15.05,Preliminary
