q_id,q_status,q_date,prop_date,ia_date,IA_phase_clean,county,state,region,project_name,utility,entity,developer,service,project_type,type_1,type_2,type_3,type_clean,Technology Group,mw_1,mw_2,mw_3,Generation MW,Storage MW,Queue MW,Queue Accounting,q_year,prop_year
Q271,active,2018-03-29 00:00:00,2021-12-23 00:00:00,,Construction,Navajo,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,75.0,,,,75.0,75.0,Submitted components; hybrid-storage imputation excluded,2018.0,2021.0
Q273,active,2018-03-30 00:00:00,2021-12-21 00:00:00,,In Progress (unknown study),Navajo,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Wind,,,Wind,Wind,477.0,,,477.0,,477.0,Submitted components; hybrid-storage imputation excluded,2018.0,2021.0
Q274,active,2018-03-30 00:00:00,2024-12-31 00:00:00,,Cluster Study,Coconino,AZ,West,,Arizona Public Service,APS,,ERIS,Generation,Solar,,,Solar,Solar,1000.0,,,1000.0,,1000.0,Submitted components; hybrid-storage imputation excluded,2018.0,2024.0
Q275,active,2018-03-30 00:00:00,2020-12-31 00:00:00,,IA Executed,Navajo,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,1000.0,,,1000.0,,1000.0,Submitted components; hybrid-storage imputation excluded,2018.0,2020.0
Q278,active,2018-06-22 00:00:00,2021-01-23 00:00:00,,In Progress (unknown study),Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,250.0,,,,250.0,250.0,Submitted components; hybrid-storage imputation excluded,2018.0,2021.0
Q280,active,2018-09-27 00:00:00,2022-12-01 00:00:00,,IA Executed,Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,300.0,,,,300.0,300.0,Submitted components; hybrid-storage imputation excluded,2018.0,2022.0
Q288,active,2018-09-28 00:00:00,2021-12-31 00:00:00,,In Progress (unknown study),Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2018.0,2021.0
Q289,active,2018-09-29 00:00:00,2023-06-01 00:00:00,,In Progress (unknown study),Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,50.0,,,,50.0,50.0,Submitted components; hybrid-storage imputation excluded,2018.0,2023.0
Q291,active,2018-09-29 00:00:00,2023-06-01 00:00:00,,In Progress (unknown study),Maricopa,AZ,West,,Arizona Public Service,APS,,ERIS,Generation,Battery,,,Battery,Battery storage,200.0,,,,200.0,200.0,Submitted components; hybrid-storage imputation excluded,2018.0,2023.0
Q295,active,2019-03-27 00:00:00,2022-12-01 00:00:00,,IA Executed,Pinal,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,250.0,,,250.0,,250.0,Submitted components; hybrid-storage imputation excluded,2019.0,2022.0
Q297,active,2019-03-29 00:00:00,2022-12-31 00:00:00,,In Progress (unknown study),Yuma,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,90.1,,,,90.1,90.1,Submitted components; hybrid-storage imputation excluded,2019.0,2022.0
Q299,active,2019-03-29 00:00:00,2023-10-31 00:00:00,,IA Executed,Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,150.0,,,,150.0,150.0,Submitted components; hybrid-storage imputation excluded,2019.0,2023.0
Q310,active,2019-08-28 00:00:00,2023-05-31 00:00:00,,IA Executed,Yuma,AZ,West,,Arizona Public Service,APS,,NRIS/ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,450.0,,,450.0,,450.0,Submitted components; hybrid-storage imputation excluded,2019.0,2023.0
Q311,active,2019-09-26 00:00:00,2021-12-31 00:00:00,,In Progress (unknown study),Navajo,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Wind,Battery,,Wind+Battery,Wind,500.0,,,500.0,,500.0,Submitted components; hybrid-storage imputation excluded,2019.0,2021.0
Q312,active,2019-09-26 00:00:00,2021-12-31 00:00:00,,Facility Study,Coconino,AZ,West,,Arizona Public Service,APS,,ERIS,Generation,Solar,,,Solar,Solar,500.0,,,500.0,,500.0,Submitted components; hybrid-storage imputation excluded,2019.0,2021.0
Q313,active,2019-09-27 00:00:00,2022-12-31 00:00:00,,In Progress (unknown study),Yavapai,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,95.0,,,95.0,,95.0,Submitted components; hybrid-storage imputation excluded,2019.0,2022.0
Q314,active,2019-09-30 00:00:00,2022-12-16 00:00:00,,In Progress (unknown study),Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,300.0,,,,300.0,300.0,Submitted components; hybrid-storage imputation excluded,2019.0,2022.0
Q315,suspended,2019-09-30 00:00:00,2022-10-31 00:00:00,,Suspended,Coconino,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,50.0,,,,50.0,50.0,Submitted components; hybrid-storage imputation excluded,2019.0,2022.0
Q317,active,2019-09-30 00:00:00,2023-06-30 00:00:00,,Cluster Study,Coconino,AZ,West,,Arizona Public Service,APS,,ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,750.0,,,750.0,,750.0,Submitted components; hybrid-storage imputation excluded,2019.0,2023.0
Q318,suspended,2019-09-30 00:00:00,2026-09-30 00:00:00,,Suspended,San Juan,NM,West,,Arizona Public Service,APS,,NRIS,Generation,Wind,,,Wind,Wind,1000.0,,,1000.0,,1000.0,Submitted components; hybrid-storage imputation excluded,2019.0,2026.0
Q319,suspended,2019-09-30 00:00:00,2026-09-30 00:00:00,,Suspended,San Juan,NM,West,,Arizona Public Service,APS,,NRIS,Generation,Wind,,,Wind,Wind,1000.0,,,1000.0,,1000.0,Submitted components; hybrid-storage imputation excluded,2019.0,2026.0
Q320,suspended,2019-09-30 00:00:00,2026-09-30 00:00:00,,Suspended,San Juan,NM,West,,Arizona Public Service,APS,,NRIS,Generation,Wind,,,Wind,Wind,1500.0,,,1500.0,,1500.0,Submitted components; hybrid-storage imputation excluded,2019.0,2026.0
Q332,active,2020-03-24 00:00:00,2024-01-12 00:00:00,,Construction,Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,350.0,,,350.0,,350.0,Submitted components; hybrid-storage imputation excluded,2020.0,2024.0
Q333,active,2020-03-26 00:00:00,2024-09-01 00:00:00,,Cluster Study,Navajo,AZ,West,,Arizona Public Service,APS,,ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2020.0,2024.0
Q334,active,2020-03-26 00:00:00,2023-11-30 00:00:00,,In Progress (unknown study),Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,500.0,,,500.0,,500.0,Submitted components; hybrid-storage imputation excluded,2020.0,2023.0
Q337,active,2020-03-27 00:00:00,2027-10-31 00:00:00,,Facility Study,Yavapai,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,450.0,,,450.0,,450.0,Submitted components; hybrid-storage imputation excluded,2020.0,2027.0
Q339,suspended,2020-03-30 00:00:00,2022-03-15 00:00:00,,Suspended,Yavapai,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,53.0,,,53.0,,53.0,Submitted components; hybrid-storage imputation excluded,2020.0,2022.0
Q346,suspended,2020-04-30 00:00:00,2021-06-22 00:00:00,,Suspended,Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,,,Solar,Solar,45.0,,,45.0,,45.0,Submitted components; hybrid-storage imputation excluded,2020.0,2021.0
Q347,active,2020-09-04 00:00:00,2024-12-01 00:00:00,,Cluster Study,Navajo,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Wind,,,Wind,Wind,345.0,,,345.0,,345.0,Submitted components; hybrid-storage imputation excluded,2020.0,2024.0
