Date,Sector,Ticker,Company,Price,P/E,Forward P/E,Market Cap,Revenue,Revenue Growth,Beta,52W High,52W Low,1Y Return,Basket Score,Basket Tier,Basket Weight,CapEx,CapEx Growth,Operating Cash Flow,Free Cash Flow,Net Income,EBITDA,Total Debt,Cash,Net Debt,FCF Margin YoY Change,Net Debt / EBITDA YoY Change,CapEx / OCF YoY Change,Price Extension 200D,Momentum Acceleration,Volatility Expansion,Volume Activity,Forward EV/EBIT,Enterprise Value,Forward Revenue,Operating Income,Operating Margin,Forward EBIT
2026-06-14,CLOUD_HYPERSCALERS,AMZN,AMZN,238.5500030517578,31.637932,24.193811,2566110000000.0,742776000000.0,,1.4241258527306544,274.989990234375,198.7899932861328,0.11869253848525685,78.05555555555554,1,4.0,,,,,,,,,,,,,0.025980037574538484,0.11897186017418987,-0.001342367272403333,-0.08891055463775255,,,,,,
2026-06-14,CLOUD_HYPERSCALERS,BABA,BABA,112.81999969482422,17.356922,12.256457,270670000000.0,1023670000000.0,,1.304587596934123,187.61692810058594,102.8851089477539,-0.023699779856906966,51.80555555555556,3,2.0,,,,,,,,,,,,,-0.23885100680310056,-0.14847902430987822,-0.012434599446361161,-0.20646859713257026,,,,,,
2026-06-14,CLOUD_HYPERSCALERS,CRWV,CRWV,100.55000305175781,,,,6227000000.0,,2.869980537115036,183.5800018310547,64.55000305175781,-0.32503187065971595,40.55555555555556,4,1.0,10309000000.0,,3058000000.0,-7251000000.0,-1592000000.0,2995000000.0,24859000000.0,2244000000.0,22615000000.0,,,,0.004565535175924396,0.3217553641893419,-0.1030961484128845,0.05871073421168105,,,,-163000000.0,-0.0261763288903163,
2026-06-14,CLOUD_HYPERSCALERS,GOOG,GOOG,358.1600036621094,27.319605,24.733765,4367740000000.0,422498000000.0,,1.273206618344517,398.79998779296875,165.5373077392578,1.0296252075572587,94.44444444444444,1,4.0,,,,,,,,,,,,,0.16614337317568273,-0.0634414192453101,0.21810329775200943,0.03890175633614135,,,,,,
2026-06-14,CLOUD_HYPERSCALERS,IBM,IBM,272.239990234375,24.092033,20.28212,255874000000.0,68910997504.0,,1.1026830001901788,329.2300109863281,214.63999938964844,-0.006500961729824062,33.05555555555556,4,1.0,,,,,,,,,,,,,0.008342507566503121,0.11560177530707963,0.32483654298399056,1.1178312769527219,,,,,,
2026-06-14,CLOUD_HYPERSCALERS,META,META,566.4549560546875,20.617455,15.6425705,1439240000000.0,214963000000.0,,1.4471516375466718,787.419189453125,525.233154296875,-0.1797207277620242,57.083333333333336,2,3.0,,,,,,,,,,,,,-0.13757981761118532,-0.030191855678703278,0.18906184592672015,0.15484746947237138,,,,,,
2026-06-14,CLOUD_HYPERSCALERS,MSFT,MSFT,390.739990234375,23.258333,20.197561,2902590000000.0,318273000000.0,,0.8473541320394904,538.6585083007812,355.9989318847656,-0.17751985624708566,77.91666666666666,2,3.0,,,,,,,,,,,,,-0.13528809532849428,0.03164008304895469,0.22525195103235984,0.3618670332426881,,,,,,
2026-06-14,CLOUD_HYPERSCALERS,NBIS,NBIS,232.36000061035156,712.6184671029007,,58791023535.9893,529800000.0,3.508936170212766,3.24887219632242,264.510009765625,44.29999923706055,3.6213207289501232,20.97222222222222,4,1.0,4066000000.0,4.034047294787669,384800000.0,-3681200000.0,82500000.0,-200700000.0,4103200000.0,3678100000.0,425100000.0,-2.164452583471885,,7.277847284769109,0.9209008919468966,0.1584887337940375,0.03717952920262202,0.07782118063533416,,59216123535.9893,,-611700000.0,-1.154586636466591,
2026-06-14,CLOUD_HYPERSCALERS,ORCL,ORCL,183.49163818359375,31.52911,16.94321,529566000000.0,67356999680.0,,1.7407971002673936,324.6299743652344,135.53347778320312,-0.06946186713710578,46.11111111111111,3,2.0,,,,,,,,,,,,,-0.10138425956190023,0.17763582316890836,0.02851561038296202,0.04184778270244793,,,,,,
2026-06-14,COMPUTE,ADI,ADI,417.7900085449219,62.078754,28.280016,203500000000.0,12740193280.0,,1.4444251852096621,437.6700134277344,217.75686645507812,0.8240491776641983,50.09803921568628,3,2.0,,,,,,,,,,,,,0.3677896310886448,0.163564727727687,0.2876659905727763,0.397840541033712,,,,,,
2026-06-14,COMPUTE,ALAB,ALAB,367.1499938964844,249.7619,87.27765,62932423758.0,1001443968.0,,3.209955546365348,367.4700012207031,85.94999694824219,2.891774519276959,33.464052287581694,3,2.0,,,,,,,,,,,,,1.0158671988568284,1.330814472778481,0.020184048075973182,0.11093509535541513,,,,,,
2026-06-14,COMPUTE,AMD,AMD,511.57000732421875,169.39404,39.040714,834166000000.0,37454000128.0,,2.874268860720543,542.52001953125,116.16000366210938,3.317046475309863,76.27450980392157,1,4.0,,,,,,,,,,,,,1.014598055003423,0.8395351192268194,0.15225684230320868,-0.3229807235077007,,,,,,
2026-06-14,COMPUTE,ARM,ARM,380.80999755859375,453.34525,124.131294,405202000000.0,4920000000.0,,3.0414339008677946,411.8299865722656,104.55000305175781,1.7471505624903685,59.83660130718954,2,3.0,,,,,,,,,,,,,1.3468172475032412,1.8617581212746186,0.5381340142099267,0.9977941655054912,,,,,,
2026-06-14,COMPUTE,AVGO,AVGO,381.4662780761719,63.678333,19.744751,1817730000000.0,75464998912.0,,2.160053336228582,480.8090515136719,246.31126403808594,0.5041424457432866,82.64705882352939,1,4.0,,,,,,,,,,,,,0.06941231332237807,0.0577172893957561,0.16620933632036206,0.2431887833120474,,,,,,
