IXP Name,Location,State,State Assignment,Physical Locations,Reported Members,Observation Date,Source,Source URL,Evidence Class,Evidence Grade,Boundary
IXP US FRE,Fremont,CA,city_crosswalk,0,13,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
DACS-IX West Region,Silicon Valley,CA,city_crosswalk,2,10,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Securebit Internet Exchange Fremont - SBIX FRE,Fremont / Neuheim,CA,primary_us_location,0,10,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Ninja-IX Sacramento,Sacramento,CA,city_crosswalk,1,7,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Ninja-IX Bay Area,Northern California,CA,city_crosswalk,2,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Skywolf Internet Exchange United States - Skywolf IX US,Fremont,CA,city_crosswalk,0,3,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Interconnection eXchange Denver - IX-Denver,Denver,CO,city_crosswalk,9,90,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
CoreSite - Any2Denver,Denver,CO,city_crosswalk,2,72,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Megaport MegaIX Denver,Denver,CO,city_crosswalk,10,7,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Equinix Internet Exchange Denver - Equinix Denver,Denver,CO,city_crosswalk,2,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
DACS-IX East Region,Washington DC,DC,source_location,5,15,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Global Peer Exchange,Washington,DC,city_crosswalk,115,7,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
FL-IX - The Florida Internet Exchange / Community IX - Florida,Miami,FL,city_crosswalk,13,198,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Equinix Internet Exchange Miami - Equinix Miami,Miami,FL,city_crosswalk,2,170,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
BGP.Exchange - Miami,Miami,FL,city_crosswalk,0,37,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Tampa Internet Exchange - TPAIX,Tampa,FL,city_crosswalk,2,25,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Jacksonville Internet Exchange - JXIX,Jacksonville,FL,city_crosswalk,2,13,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Megaport MegaIX Miami,Miami,FL,city_crosswalk,4,10,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
