Geography,Use Category,Total Withdrawal Mgal/d,Fresh Groundwater Mgal/d,Saline Groundwater Mgal/d,Fresh Surface Water Mgal/d,Saline Surface Water Mgal/d,Component Sum Mgal/d,Residual Mgal/d
MI,thermoelectric_power,7801.61,5.609999999999999,0.0,7796.0,0.0,7801.61,0.0
MN,public_supply,515.2400000000001,336.31000000000006,0.0,178.93,0.0,515.24,1.1368683772161603e-13
MN,domestic_self_supply,82.22999999999999,82.22999999999999,0.0,0.0,0.0,82.22999999999999,0.0
MN,industrial_self_supply,258.98999999999995,48.989999999999995,0.0,210.0,0.0,258.99,-5.684341886080802e-14
MN,irrigation,276.13000000000005,242.21,0.0,33.92000000000001,0.0,276.13,5.684341886080802e-14
MN,livestock,58.92,58.92,0.0,0.0,0.0,58.92,0.0
MN,aquaculture,16.52,1.72,,14.799999999999999,,,
MN,mining,9.199999999999998,3.63,0.0,5.569999999999999,0.0,9.2,-1.7763568394002505e-15
MN,thermoelectric_power,2013.17,1.77,0.0,2011.4,0.0,2013.17,0.0
MO,public_supply,797.0899999999999,281.59000000000003,0.0,515.4999999999999,0.0,797.0899999999999,0.0
MO,domestic_self_supply,57.46,57.46,0.0,0.0,0.0,57.46,0.0
MO,industrial_self_supply,85.22999999999999,42.38,0.0,42.85,0.0,85.23,-1.4210854715202004e-14
MO,irrigation,1373.6099999999997,1298.3200000000002,0.0,75.29,0.0,1373.6100000000001,-4.547473508864641e-13
MO,livestock,63.690000000000005,16.119999999999997,0.0,47.56999999999999,0.0,63.68999999999999,1.4210854715202004e-14
MO,aquaculture,164.12,6.7700000000000005,,157.35,,,
MO,mining,29.559999999999995,21.089999999999996,0.0,8.469999999999997,0.0,29.559999999999995,0.0
MO,thermoelectric_power,5856.38,13.750000000000002,0.0,5842.629999999999,0.0,5856.379999999999,9.094947017729282e-13
MS,public_supply,400.36,346.99,0.0,53.37,0.0,400.36,0.0
MS,domestic_self_supply,48.129999999999995,48.129999999999995,0.0,0.0,0.0,48.129999999999995,0.0
MS,industrial_self_supply,181.87,72.78999999999999,0.0,109.08,0.0,181.87,0.0
MS,irrigation,1769.5700000000002,1639.9,0.0,129.67,0.0,1769.5700000000002,0.0
MS,livestock,17.13,6.85,0.0,10.280000000000001,0.0,17.130000000000003,-3.552713678800501e-15
MS,aquaculture,126.84,87.52000000000001,,39.32,,,
MS,mining,16.029999999999998,8.209999999999999,6.580000000000001,1.24,0.0,16.029999999999998,0.0
MS,thermoelectric_power,126.19,33.739999999999995,6.35,84.03000000000002,2.07,126.19,0.0
MT,public_supply,153.19,83.32,0.0,69.86999999999999,0.0,153.19,0.0
MT,domestic_self_supply,23.700000000000003,22.58,0.0,1.12,0.0,23.7,3.552713678800501e-15
MT,industrial_self_supply,9.67,5.220000000000001,0.0,4.45,0.0,9.670000000000002,-1.7763568394002505e-15
MT,irrigation,9452.619999999999,59.57000000000001,0.0,9393.05,0.0,9452.619999999999,0.0
MT,livestock,42.199999999999996,12.3,0.0,29.9,0.0,42.2,-7.105427357601002e-15
MT,aquaculture,17.130000000000003,3.4899999999999993,,13.639999999999999,,,
MT,mining,37.9,1.06,16.3,20.54,0.0,37.9,0.0
MT,thermoelectric_power,75.69,0.8,0.0,74.89,0.0,75.69,0.0
NC,public_supply,938.0100000000001,157.70000000000002,0.0,780.3100000000001,0.0,938.0100000000001,0.0
NC,domestic_self_supply,168.56000000000003,168.56000000000003,0.0,0.0,0.0,168.56000000000003,0.0
NC,industrial_self_supply,193.16,15.029999999999998,0.0,178.13000000000002,0.0,193.16000000000003,-2.842170943040401e-14
NC,irrigation,324.94,83.78,0.0,241.16,0.0,324.94,0.0
NC,livestock,66.5,51.919999999999995,0.0,14.579999999999998,0.0,66.5,0.0
NC,aquaculture,1003.46,13.269999999999998,,990.1899999999999,,,
NC,mining,38.300000000000004,30.04,0.0,8.26,0.0,38.3,7.105427357601002e-15
NC,thermoelectric_power,7538.719999999999,0.18,0.0,6183.54,1355.0,7538.72,-9.094947017729282e-13
ND,public_supply,84.18,35.35,0.0,48.83,0.0,84.18,0.0
ND,domestic_self_supply,3.69,3.69,0.0,0.0,0.0,3.69,0.0
ND,industrial_self_supply,19.65,6.18,0.0,13.469999999999999,0.0,19.65,0.0
ND,irrigation,232.78,102.4,0.0,130.38,0.0,232.78,0.0
ND,livestock,20.770000000000003,12.47,0.0,8.299999999999999,0.0,20.77,3.552713678800501e-15
ND,aquaculture,5.32,0.0,,5.32,,,
ND,mining,45.769999999999996,26.17000000000001,15.1,4.5,0.0,45.77000000000001,-1.4210854715202004e-14
ND,thermoelectric_power,983.23,0.42,0.0,982.81,0.0,983.2299999999999,1.1368683772161603e-13
NE,public_supply,275.18000000000006,217.93999999999997,0.0,57.24,0.0,275.17999999999995,1.1368683772161603e-13
NE,domestic_self_supply,19.04,19.04,0.0,0.0,0.0,19.04,0.0
NE,industrial_self_supply,44.279999999999994,41.96,0.0,2.32,0.0,44.28,-7.105427357601002e-15
NE,irrigation,6090.6,5416.8099999999995,0.0,673.79,0.0,6090.599999999999,9.094947017729282e-13
NE,livestock,110.09999999999998,89.69999999999999,0.0,20.400000000000002,0.0,110.1,-1.4210854715202004e-14
NE,aquaculture,26.509999999999998,10.54,,15.969999999999999,,,
NE,mining,16.01,0.060000000000000005,6.41,9.54,0.0,16.009999999999998,3.552713678800501e-15
NE,thermoelectric_power,2917.33,16.83,0.0,2900.5,0.0,2917.33,0.0
NH,public_supply,95.52,35.42,0.0,60.1,0.0,95.52000000000001,-1.4210854715202004e-14
NH,domestic_self_supply,29.740000000000002,29.740000000000002,0.0,0.0,0.0,29.740000000000002,0.0
NH,industrial_self_supply,12.620000000000001,4.209999999999999,0.0,8.41,0.0,12.62,1.7763568394002505e-15
NH,irrigation,5.200000000000001,1.09,0.0,4.11,0.0,5.2,8.881784197001252e-16
NH,livestock,0.8400000000000001,0.63,0.0,0.21000000000000002,0.0,0.8400000000000001,0.0
NH,aquaculture,17.16,6.46,0.0,10.7,0.0,17.16,0.0
NH,mining,6.130000000000001,1.76,0.0,4.37,0.0,6.13,8.881784197001252e-16
NH,thermoelectric_power,768.23,1.1,0.0,73.71,693.42,768.2299999999999,1.1368683772161603e-13
NJ,public_supply,1175.42,378.59000000000003,0.0,796.8299999999999,0.0,1175.42,0.0
NJ,domestic_self_supply,90.66,90.66,0.0,0.0,0.0,90.66,0.0
NJ,industrial_self_supply,94.11000000000001,30.04,0.0,64.07000000000001,0.0,94.11000000000001,0.0
NJ,irrigation,93.94000000000001,55.13,0.0,38.81,0.0,93.94,1.4210854715202004e-14
NJ,livestock,0.8800000000000001,0.8800000000000001,0.0,0.0,0.0,0.8800000000000001,0.0
NJ,aquaculture,9.780000000000001,9.780000000000001,0.0,0.0,0.0,9.780000000000001,0.0
NJ,mining,58.260000000000005,1.4800000000000002,0.0,56.779999999999994,0.0,58.25999999999999,1.4210854715202004e-14
NJ,thermoelectric_power,3786.6000000000004,2.08,0.0,358.43,3426.09,3786.6000000000004,0.0
NM,public_supply,261.79,183.51,0.0,78.28000000000002,0.0,261.79,0.0
NM,domestic_self_supply,24.64,24.64,0.0,0.0,0.0,24.64,0.0
NM,industrial_self_supply,3.3999999999999995,3.3999999999999995,0.0,0.0,0.0,3.3999999999999995,0.0
NM,irrigation,2373.26,1048.4499999999998,0.0,1324.81,0.0,2373.2599999999998,4.547473508864641e-13
